smiles,affinity,iteration
Cc1c(Br)ccc(F)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-48.28889496647624,74
Cc1cc(Br)cc(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-32.90775996361911,75
CCc1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-45.483717263809474,76
CCc1cc(C)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-32.510994806476255,77
O=C(OCc1cc(Br)cc(Cl)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-30.46624815561905,78
CC(C)Cc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-40.65788165980951,79
CCCc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)n1,-40.04498041714288,80
CCc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)ccc1F,-46.03399888190479,81
CCc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)ccc1Cl,-46.93997927942856,82
CCc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)ccc1C,-33.40790954742855,83
CCc1ccc([N+](=O)[O-])cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-42.57511507828573,84
CCc1cccnc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-39.72399037504762,85
O=C(OCc1ccccc1CF)c1[nH]c2c(Br)cccc2c1CCCO,-38.046177924761885,86
C#Cc1cc(Br)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-46.41796060933332,87
N#Cc1cccc(Br)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-34.714239749523806,88
CC(C)Cc1ccc([C@H](C)OC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-40.81599346723809,89
CC(C)Cc1ccc([C@@H](C)OC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-40.58095815866662,90
CCc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-43.17434708190476,91
CCCCc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-33.03321261371428,92
COC(=O)c1cc(F)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-39.75869968000002,93
CCc1ncccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-36.51503043866662,94
Cc1cc(I)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-41.18783410457141,95
O=C(COC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1cc(F)c(Br)cc1O,-31.340518882095285,96
CC[C@@H](C)c1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-45.476659192000014,97
CC[C@H](C)c1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-32.73415131199998,98
Cc1cc(F)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-37.40450371104762,99
CCc1ccc2[nH]c(C(=O)OCC=CBr)c(C)c2c1,-29.5144146470476,100
