C=Cc1c(C)[nH]c2ccccc12	ZINCcB0000001wWS,0.41379310344827586
C=C(C)c1c[nH]c2ccccc12	ZINCcC0000000O4w,0.41379310344827586
CC(C)c1c[nH]c2ccccc12	ZINCcC0000000O5J,0.41379310344827586
Cc1c[nH]c2cc(Cl)c(F)cc12	ZINCcC0000000O9p,0.41379310344827586
CCOc1cc(C)c(Cl)c(C)c1	ZINCcD0000000lTE,0.42857142857142855
CCc1c(Cl)[nH]c2ccccc12	ZINCcD0000000Oht,0.41379310344827586
Cc1[nH]c2c(Br)cccc2c1C	ZINCcF0000000OBw,0.41379310344827586
Cc1[nH]c2cc(Br)ccc2c1C	ZINCcF0000000OBx,0.41379310344827586
Cc1[nH]c2ccc(Br)cc2c1C	ZINCcF0000000OBy,0.41379310344827586
Cc1c[nH]c2cc(Cl)cc(Cl)c12	ZINCcH0000000OPy,0.41379310344827586
Cc1cc2c(Cl)cc(Cl)cc2[nH]1	ZINCcH0000000OPL,0.41379310344827586
Cc1cc2cc(Cl)c(Cl)cc2[nH]1	ZINCcH0000000OPM,0.41379310344827586
O=C(O)[C@@H]1C[C@H]2[C@@H](O)CCC[C@H]2N1	ZINCd5000001ozxo,0.4482758620689655
O=C(O)[C@H]1C[C@H]2C(=O)CCC[C@H]2N1	ZINCd7000001ozxu,0.4482758620689655
O=C(O)[C@@H]1C[C@@H]2C(=O)CCC[C@@H]2N1	ZINCd7000001ozxt,0.4482758620689655
Nc1ccc2c(c1)C[C@@H](C(=O)O)N2	ZINCdc000002dafr,0.4482758620689655
Nc1ccc2c(c1)C[C@H](C(=O)O)N2	ZINCdc000002dcH5,0.4482758620689655
COC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2N1	ZINCdg000001olHE,0.4482758620689655
COC(=O)[C@@H]1C[C@H]2CCCC[C@H]2N1	ZINCdg000001olHG,0.4482758620689655
COC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1	ZINCdg000001olHD,0.4482758620689655
COC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1	ZINCdg000001olHF,0.4482758620689655
COC(=O)[C@@H]1Cc2ccccc2N1	ZINCdh000001olAs,0.4482758620689655
COC(=O)[C@H]1Cc2ccccc2N1	ZINCdh000001olAt,0.4482758620689655
O=C(O)[C@@H]1Cc2cc(F)ccc2N1	ZINCdi000001ozkp,0.4482758620689655
O=C(O)[C@H]1Cc2cc(F)ccc2N1	ZINCdi000001ozkq,0.4482758620689655
O=C(O)c1cc2c([nH]1)CCCC2=O	ZINCdi000002MG4d,0.4482758620689655
C[C@@]1(C(=O)O)C[C@@H]2CCCC[C@H]2N1	ZINCdj000001nWRm,0.4482758620689655
C[C@@]1(C(=O)O)C[C@H]2CCCC[C@H]2N1	ZINCdj000001nWRo,0.4482758620689655
C[C@@]1(C(=O)O)C[C@H]2CCCC[C@@H]2N1	ZINCdj000001nWRn,0.4482758620689655
CN1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21	ZINCdj0000001zvL,0.4482758620689655
C[C@@]1(C(=O)O)C[C@@H]2CCCC[C@@H]2N1	ZINCdj000001nWRl,0.4482758620689655
Cc1c(C(N)=O)[nH]c2c1CCCC2	ZINCdj000000YQ2L,0.4482758620689655
