name,orig_smiles,prot_smiles,mmgbsa_score,mmgbsa_score_sem,mmpbsa_score,mmpbsa_score_sem,vina_score
ZINCpU000009YwEs,C[C@@H](CC(=O)Oc1ccc(C(C)(C)C)cc1)c1c[nH]c2ccccc12,C[C@@H](CC(=O)Oc1ccc(C(C)(C)C)cc1)c1c[nH]c2ccccc12,-33.294217356000004,0.43802462028203343,-27.65391452380951,0.3380574134963538,-9.286
ZINCoI00000fe2Di,Cc1[nH]cc(CCC(=O)Oc2cc(F)c(Cl)c(Br)c2)c1S(C)(=O)=O,Cc1[nH]cc(CCC(=O)Oc2cc(F)c(Cl)c(Br)c2)c1S(C)(=O)=O,-33.29421531809517,0.5229075463875185,-29.930200238095164,0.5336099790083425,-8.341
ZINCoO00000I2JBb,CCC(CC)[C@H](C)NC(=O)c1[nH]c2c(Br)cccc2c1CCCO,CCC(CC)[C@H](C)NC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-33.293365612190485,0.5527906226675254,-27.58180785714286,0.5338446104633954,-8.052
ZINCnU000004Jpf8,Cc1cccc(Br)c1OCC(=O)CC12CC3CC(CC(C3)C1)C2,Cc1cccc(Br)c1OCC(=O)CC12CC3CC(CC(C3)C1)C2,-33.2929340064762,0.7703216175677227,-29.482967142857166,0.5110456453535149,-8.14
ZINCoK000001n4Ph,Cc1cccc2c(CCC(=O)Oc3ccc(C#N)cc3F)c[nH]c12,Cc1cccc2c(CCC(=O)Oc3ccc(C#N)cc3F)c[nH]c12,-33.29291358304762,0.6362831463804735,-26.18843047619048,0.4247642500403579,-9.341
ZINCrz00000HysO5,Cn1cc(C(=O)C(=O)COc2cc(F)c3c(c2)OCCO3)c2ccccc21,Cn1cc(C(=O)C(=O)COc2cc(F)c3c(c2)OCCO3)c2ccccc21,-33.2928981135238,0.6309197423341605,-26.725034761904748,0.43468031077231783,-9.48
ZINCnt00000oUOXN,C[S@](=O)CCCNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,C[S@](=O)CCCNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-33.29265392019044,0.5754090237777885,-24.987516666666618,0.6436634526438741,-6.955
ZINCoK00000eVdqX,CC(C)C1(CNC(=O)c2[nH]c3c(Br)cccc3c2CCCO)CC1,CC(C)C1(CNC(=O)c2[nH]c3c(Br)cccc3c2CCCO)CC1,-33.29159867009521,0.5625711550698762,-27.373982619047602,0.5601157749320754,-8.206
ZINCoV00000LIwiw,Cc1cc(Br)c(OC(=O)C[C@@H](C)c2c[nH]c3ccccc23)c(Br)c1,Cc1cc(Br)c(OC(=O)C[C@@H](C)c2c[nH]c3ccccc23)c(Br)c1,-33.2914813958095,0.2427390861847222,-26.519626666666646,0.30566616254185813,-9.673
ZINCnM00000uvrdk,CO[C@H]1CCC[C@H](OC(=O)CCc2c[nH]c3cc(Cl)ccc23)C1,CO[C@H]1CCC[C@H](OC(=O)CCc2c[nH]c3cc(Cl)ccc23)C1,-33.291077125904856,0.5677844204112764,-27.688823571428667,0.30148341828997993,-8.614
